         5576685 function calls (5385459 primitive calls) in 33.586 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1   23.756    7.919   32.826   32.826 {built-in method mainloop}
  746/684    4.040    0.005    5.806    0.008 {built-in method call}
        7    0.521    0.074    0.522    0.075 executionengine.py:90(finalize_object)
        5    0.249    0.050    0.249    0.050 {_tkinter.create}
        7    0.207    0.030    0.207    0.030 passmanagers.py:94(run)
615379/615374    0.106    0.000    0.140    0.000 {isinstance}
     1273    0.096    0.000    0.329    0.000 font_manager.py:1248(findfont)
     7218    0.093    0.000    0.179    0.000 instructions.py:63(__init__)
    23402    0.078    0.000    0.078    0.000 transforms.py:83(__init__)
110639/49049    0.077    0.000    0.312    0.000 {method 'format' of 'str' objects}
    46876    0.073    0.000    0.073    0.000 {numpy.core.multiarray.array}
      4/2    0.057    0.014    0.484    0.242 lda.py:145(genD)
   144021    0.054    0.000    0.057    0.000 {getattr}
    18125    0.053    0.000    0.058    0.000 font_manager.py:1179(score_stretch)
       13    0.052    0.004    0.144    0.011 pyparsing.py:4551(oneOf)
    18125    0.052    0.000    0.062    0.000 font_manager.py:1197(score_weight)
    78217    0.049    0.000    0.049    0.000 __init__.py:825(__getitem__)
     8665    0.041    0.000    0.041    0.000 {numpy.core.multiarray.dot}
75583/33266    0.041    0.000    0.301    0.000 _utils.py:40(__str__)
     9984    0.040    0.000    0.080    0.000 core.py:2902(_update_from)
     6255    0.039    0.000    0.109    0.000 core.py:2928(__array_finalize__)
     7218    0.037    0.000    0.098    0.000 instructions.py:111(_descr)
    12015    0.037    0.000    0.037    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    18892    0.037    0.000    0.116    0.000 instructions.py:14(__init__)
    19372    0.036    0.000    0.255    0.000 values.py:210(_to_string)
        8    0.035    0.004    0.055    0.007 base.py:252(refresh)
       30    0.032    0.001    0.032    0.001 module.py:11(parse_assembly)
      212    0.032    0.000    0.032    0.000 passmanagers.py:123(run)
61408/54055    0.031    0.000    0.052    0.000 artist.py:230(stale)
34986/6888    0.031    0.000    0.051    0.000 ir.py:100(_rec_list_vars)
    18125    0.031    0.000    0.047    0.000 font_manager.py:1118(score_family)
     1714    0.030    0.000    0.241    0.000 lines.py:295(__init__)
      662    0.030    0.000    0.030    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
   183113    0.029    0.000    0.049    0.000 pyparsing.py:4580(<lambda>)
  8081/40    0.029    0.000    0.189    0.005 pyparsing.py:1520(_parseCache)
      105    0.028    0.000    0.035    0.000 collections.py:305(namedtuple)
46493/46461    0.026    0.000    0.050    0.000 _utils.py:50(get_reference)
     3612    0.025    0.000    0.036    0.000 artist.py:87(__init__)
   212406    0.024    0.000    0.024    0.000 {method 'startswith' of 'unicode' objects}
      994    0.023    0.000    0.265    0.000 patches.py:675(_update_patch_transform)
      871    0.023    0.000    0.085    0.000 core.py:1148(__call__)
       11    0.022    0.002    0.023    0.002 linalg.py:1299(svd)
    23526    0.022    0.000    0.093    0.000 values.py:203(__init__)
7873/5277    0.022    0.000    0.029    0.000 transforms.py:135(_invalidate_internal)
    23361    0.021    0.000    0.037    0.000 _utils.py:26(deduplicate)
     9590    0.021    0.000    0.136    0.000 transforms.py:1902(__init__)
     8284    0.021    0.000    0.023    0.000 transforms.py:162(set_children)
    16272    0.020    0.000    0.089    0.000 transforms.py:1757(__init__)
     1040    0.019    0.000    0.076    0.000 lines.py:655(recache)
      686    0.019    0.000    0.022    0.000 {matplotlib._path.point_in_path}
     9918    0.018    0.000    0.034    0.000 abc.py:128(__instancecheck__)
        4    0.018    0.004    0.023    0.006 __init__.py:2(<module>)
2942/1886    0.018    0.000    0.371    0.000 transforms.py:2229(transform_non_affine)
