         3576813 function calls (3520281 primitive calls) in 30.587 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1   23.083    7.694   29.887   29.887 {built-in method mainloop}
  870/808    3.849    0.004    5.636    0.007 {built-in method call}
        5    0.257    0.051    0.257    0.051 {_tkinter.create}
     1297    0.098    0.000    0.341    0.000 font_manager.py:1248(findfont)
        2    0.069    0.034    0.069    0.035 lda.py:145(genD)
    45512    0.068    0.000    0.068    0.000 {numpy.core.multiarray.array}
    18125    0.055    0.000    0.066    0.000 font_manager.py:1197(score_weight)
    18125    0.055    0.000    0.060    0.000 font_manager.py:1179(score_stretch)
       13    0.053    0.004    0.170    0.013 pyparsing.py:4551(oneOf)
    79425    0.051    0.000    0.051    0.000 __init__.py:825(__getitem__)
   129969    0.051    0.000    0.055    0.000 {getattr}
194936/194931    0.049    0.000    0.078    0.000 {isinstance}
    12109    0.040    0.000    0.040    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     9014    0.039    0.000    0.076    0.000 core.py:2902(_update_from)
     5652    0.038    0.000    0.105    0.000 core.py:2928(__array_finalize__)
     7722    0.037    0.000    0.037    0.000 {numpy.core.multiarray.dot}
      288    0.034    0.000    0.045    0.000 {map}
62424/54951    0.033    0.000    0.055    0.000 artist.py:230(stale)
     1744    0.033    0.000    0.273    0.000 lines.py:295(__init__)
    18125    0.033    0.000    0.048    0.000 font_manager.py:1118(score_family)
      686    0.030    0.000    0.030    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
   183113    0.030    0.000    0.050    0.000 pyparsing.py:4580(<lambda>)
  8081/40    0.028    0.000    0.179    0.004 pyparsing.py:1520(_parseCache)
   212706    0.025    0.000    0.025    0.000 {method 'startswith' of 'unicode' objects}
       99    0.024    0.000    0.031    0.000 collections.py:305(namedtuple)
     3672    0.024    0.000    0.039    0.000 artist.py:87(__init__)
     1674    0.023    0.000    0.023    0.000 sre_parse.py:93(__init__)
      774    0.023    0.000    0.083    0.000 core.py:1148(__call__)
       11    0.023    0.002    0.023    0.002 linalg.py:1299(svd)
7505/4725    0.021    0.000    0.027    0.000 transforms.py:135(_invalidate_internal)
     1062    0.020    0.000    0.082    0.000 lines.py:655(recache)
    21173    0.018    0.000    0.018    0.000 transforms.py:83(__init__)
     7293    0.018    0.000    0.020    0.000 transforms.py:162(set_children)
    14618    0.017    0.000    0.029    0.000 transforms.py:1757(__init__)
2965/1885    0.017    0.000    0.353    0.000 transforms.py:2229(transform_non_affine)
      792    0.017    0.000    0.157    0.000 patches.py:675(_update_patch_transform)
     8466    0.017    0.000    0.068    0.000 transforms.py:1902(__init__)
      976    0.017    0.000    0.028    0.000 scale.py:97(transform_non_affine)
     9570    0.016    0.000    0.034    0.000 numeric.py:2460(seterr)
   183114    0.016    0.000    0.016    0.000 pyparsing.py:4579(<lambda>)
     8901    0.016    0.000    0.028    0.000 abc.py:128(__instancecheck__)
        4    0.016    0.004    0.021    0.005 __init__.py:2(<module>)
      318    0.016    0.000    0.045    0.000 doccer.py:12(docformat)
     2510    0.016    0.000    0.020    0.000 twodim_base.py:140(eye)
      215    0.015    0.000    0.038    0.000 Tkinter.py:1235(_substitute)
      553    0.015    0.000    0.265    0.000 lines.py:737(draw)
     2510    0.015    0.000    0.036    0.000 numeric.py:2157(identity)
    51799    0.015    0.000    0.020    0.000 pyparsing.py:2182(__hash__)
  7670/47    0.015    0.000    0.180    0.004 pyparsing.py:1347(_parseNoCache)
    82137    0.014    0.000    0.033    0.000 {method 'get' of 'dict' objects}
      660    0.014    0.000    0.767    0.001 text.py:284(_get_layout)
     2136    0.014    0.000    0.072    0.000 font_manager.py:661(__init__)
      726    0.014    0.000    0.234    0.000 text.py:700(draw)
      484    0.013    0.000    0.016    0.000 {matplotlib._path.point_in_path}
 1193/851    0.013    0.000    0.053    0.000 sre_parse.py:414(_parse)
     2365    0.013    0.000    0.013    0.000 Tkinter.py:1241(getint_event)
    81188    0.013    0.000    0.013    0.000 {method 'lower' of 'unicode' objects}
